N°,Marque,modele,Energie,Cylinder Capacity,car year = 2026 ,car year = 2025,car year = 2024,car year = 2023,Code monnaie,Duties & Customs
3,VOLKSWAGEN,T-ROC,ESS,1400,15000,15000,13500,12100,USD,It depends on the year of the car as a cal
5,VOLKSWAGEN,T-ROC,ESS,1500,17500,17500,15700,14100,USD,
7,VOLKSWAGEN,T-ROC,ESS,2000,20000,20000,18000,16200,USD,
12,VOLKSWAGEN,GOLF,ESS,1400,17200,17200,15400,13900,USD,
14,VOLKSWAGEN,GOLF,ESS,1500,18000,18000,16200,14500,USD,
16,VOLKSWAGEN,GOLF,ESS,2000,30000,30000,27000,24300,USD,
21,VOLKSWAGEN,TIGUAN,ESS,1400,23000,23000,20700,18600,USD,
23,VOLKSWAGEN,TIGUAN,ESS,1500,18300,18300,16400,14800,USD,
24,VOLKSWAGEN,TIGUAN,ESS,1600,18100,18100,16300,14600,USD,
26,VOLKSWAGEN,TIGUAN,ESS,2000,26000,26000,23400,21060,USD,
31,VOLKSWAGEN,T-CROSS,ESS,1500,13900,13900,12500,11200,USD,
33,VOLKSWAGEN,PASSAST,ESS,1400,17600,17600,15800,14200,USD,
35,VOLKSWAGEN,PASSAST,ESS,1500,20200,20200,18100,16300,USD,
37,VOLKSWAGEN,PASSAST,ESS,2000,26900,26900,24200,21800,USD,
39,VOLKSWAGEN,THARU,ESS,1500,12500,12500,11200,10100,USD,
41,VOLKSWAGEN,TACQUA,ESS,1200,14200,14200,12700,11500,USD,
43,VOLKSWAGEN,JETTA,ESS,1400,8800,8800,7900,7100,USD,
45,VOLKSWAGEN,JETTA,ESS,1500,9500,9500,8500,7700,USD,
46,VOLKSWAGEN,MAGOTAN,ESS,1400,24300,24300,21800,19600,USD,
47,VOLKSWAGEN,MAGOTAN,ESS,1500,25000,25000,22500,20200,USD,
50,VOLKSWAGEN,TAYRON,ESS,1500,17400,17400,15600,14100,USD,
53,VOLKSWAGEN,POLO,ESS,1500,12700,12700,11400,10300,USD,
89,KIA,KX1,ESS,1200,9000,9000,8100,7300,USD,
90,KIA,KX1,ESS,1400,9300,9300,8300,7500,USD,
91,KIA,KX1,ESS,1500,11500,11500,10300,9300,USD,
92,KIA,SONAT,ESS,1500,12800,12800,11500,10300,USD,
93,KIA,SELTOS,ESS,1500,11000,11000,9900,8900,USD,
95,KIA,SPORTAGE,ESS,1500,17000,17000,15300,13700,USD,
97,KIA,SPORTAGE,ESS,1600,17000,17000,15300,13700,USD,
102,KIA,PICANTO,ESS,1000,11000,11000,9900,8900,USD,
104,KIA,PICANTO,ESS,1200,12000,12000,10800,9700,USD,
105,KIA,K3,ESS,1400,11500,11500,10300,9300,USD,
106,KIA,K3,ESS,1500,12600,12600,11300,10200,USD,
107,KIA,K3,ESS,1600,11500,11500,10300,9300,USD,
108,KIA,SONET,ESS,1200,11500,11500,10300,9300,USD,
109,KIA,SONET,ESS,1400,12000,12000,10800,9700,USD,
110,KIA,SONET,ESS,1500,12800,12800,11500,10300,USD,
112,KIA,STONIC,ESS,1400,14000,14000,12600,11340,USD,
113,KIA,YIPAO,ESS,1400,8600,8600,7700,6900,USD,
114,KIA,YIPAO,ESS,1500,8600,8600,7700,6900,USD,
115,KIA,SORENTO,HYB,1600,38000,38000,34200,30800,USD,
116,KIA,SUV,ESS,1500,27000,27000,24300,21800,USD,
119,KIA,RIO,ESS,1000,11000,11000,9900,8900,USD,
121,KIA,RIO,ESS,1600,12700,12700,11400,10200,USD,
136,SKODA,KAMIQ,ESS,1000,12500,12500,11200,10100,USD,
138,SKODA,KAMIQ,ESS,1400,12500,12500,11200,10100,USD,
140,SKODA,KAMIQ,ESS,1500,13800,13800,12400,11100,USD,
257,CHERY,JETOUR DASHING,ESS,1500,12800,12800,11500,10300,USD,
258,CHERY,JETOUR DASHING,ESS,1600,15000,15000,13500,12100,USD,
259,CHERY,JETOUR DASHING,ESS,2200,18000,18000,16200,14600,USD,
260,CHERY,JETOUR X70 PLUS,ESS,1500,16000,16000,14400,12900,USD,
261,CHERY,JETOUR X70 PLUS,ESS,1600,18000,18000,16200,14600,USD,
262,CHERY,JETOUR TRAVELLER T2,ESS,1500,19400,19400,17400,15700,USD,
263,CHERY,JETOUR TRAVELLER T2,ESS,1600,19400,19400,17400,15700,USD,
264,CHERY,JETOUR TRAVELLER T2,ESS,2000,20800,20800,18700,16800,USD,
265,CHERY,JETOUR TRAVELLER T2,HYB,1500,19400,19400,17400,15700,USD,
266,CHERY,JETOUR X70,ESS,1500,14000,14000,12600,11340,USD,
267,CHERY,JETOUR X70,ESS,1600,15000,15000,13500,12100,USD,
268,CHERY,JETOUR TRAVELER,ESS,1200,18000,18000,16200,14600,USD,
269,CHERY,JETOUR TRAVELER,ESS,1500,18000,18000,16200,14600,USD,
270,CHERY,JETOUR TRAVELER,ESS,2000,22300,22300,20000,18000,USD,
271,CHERY,JETOUR PASSENGER,ESS,1500,21000,21000,18900,17000,USD,
272,CHERY,JETOUR PASSENGER,ESS,1600,28000,28000,25200,22700,USD,
273,CHERY,ARRIZO 5,ESS,1500,10700,10700,9600,8600,USD,
274,CHERY,KAIYI X3 PRO,ESS,1500,14500,14500,13000,11700,USD,
275,CHERY,TIGGO 1X,ESS,1000,8000,8000,7200,6500,USD,
276,CHERY,TIGGO 3X,ESS,1500,10000,10000,9000,8100,USD,
277,CHERY,TIGGO 5X,ESS,1500,13000,13000,11700,10500,USD,
278,CHERY,TIGGO 7,ESS,1500,11000,11000,9900,8900,USD,
279,CHERY,TIGGO 8,ESS,1500,15500,15500,13900,12500,USD,
280,CHERY,TIGGO 9,ESS,2000,21300,21300,19100,17200,USD,
281,CHERY,JETOUR X90,ESS,1600,15500,15500,13900,12500,USD,
282,CHERY,JETOUR X90,ESS,2000,19000,19000,17100,15400,USD,
283,CHERY,JETWAY,ESS,1500,18000,18000,16200,14600,USD,
284,CHERY,JETOUR X90 PRO,ESS,1600,17800,17800,16000,14400,USD,
286,AUDI,Q3,ESS,1500,22700,22700,20400,18400,USD,
292,AUDI,A3,ESS,1400,18500,18500,16600,15000,USD,
294,AUDI,A3,ESS,1500,19200,19200,17200,15500,USD,
299,AUDI,A3 SPORTBACK,ESS,1500,18500,18500,16600,15000,USD,
304,AUDI,Q5,ESS,2000,37800,37800,34000,30600,USD,
426,GEELY,COOLRAY,ESS,1500,12000,12000,10800,9700,USD,
427,GEELY,STARRAY,ESS,1500,12900,12900,11600,10400,USD,
428,GEELY,STARRAY,ESS,2000,18000,18000,16200,14600,USD,
429,GEELY,BINYUE,ESS,1500,10000,10000,9000,8100,USD,
430,GEELY,BOYUE,ESS,1500,14000,14000,12600,11340,USD,
432,GEELY,LIVAN X3PRO,ESS,1500,8000,8000,7200,6500,USD,
433,GEELY,PANDA EV (ELECTRIC),ELC,,7000,7000,6300,5600,USD,
434,GEELY,EMEGRAND,ESS,1500,9800,9800,8800,7900,USD,
435,GEELY,XINGRUI,HYB,1500,13900,13900,12500,11200,USD,
436,GREAT WALL,JOLION,ESS,1500,14200,14200,12800,11500,USD,
439,GREAT WALL,HAVAL H5,ESS,1500,14200,14200,12800,11500,USD,
440,GREAT WALL,HAVAL H6,ESS,1500,14000,14000,12600,11340,USD,
441,GREAT WALL,HAVAL H9,ESS,2000,28000,28000,25200,22700,USD,
442,GREAT WALL,TANK 500,ESS,3000,46600,46600,41900,37700,USD,
443,GREAT WALL,TANK 400,ESS,2000,35000,35000,31500,28300,USD,
444,GREAT WALL,TANK 300,ESS,2000,28000,28000,25200,22700,USD,
445,GREAT WALL,PICK UP 5,ESS,2400,11000,11000,9900,8900,USD,
446,GREAT WALL,PICK UP 7,ESS,1500,12400,12400,11100,10000,USD,
447,GREAT WALL,PAO,ESS,2000,14000,14000,12600,11340,USD,
448,GREAT WALL,BIG DOG,ESS,1500,14200,14200,12800,11500,USD,
533,SUZUKI,BALENO,ESS,1500,11000,11000,9900,8900,USD,
534,SUZUKI,DZIRE,ESS,1200,8800,8800,7900,7100,USD,
535,SUZUKI,ERTIGA,ESS,1500,10400,10400,9300,8400,USD,
536,SUZUKI,GRAND VIRATA,ESS,1400,15600,15600,14000,12600,USD,
543,PORCHE,CAYENNE GTS,ESS,4000,108000,108000,97200,87500,USD,
544,MG,MG 5,ESS,1500,9500,9500,8500,7700,USD,
546,MG,ZS,ESS,1500,12800,12800,11500,10300,USD,
547,MG,RX5,ESS,1500,19000,19000,17100,15400,USD,
548,MG,MG ONE,ESS,1500,15500,15500,13900,12500,USD,
549,MG,MG 6,ESS,1500,15500,15500,13900,12500,USD,
550,MG,MG 7,ESS,1500,15600,15600,14000,12600,USD,
589,DFSK,GLORY,ESS,1500,7200,7200,6500,5800,USD,
590,DFSK,FENGON 600,ESS,1500,13300,13300,11900,10700,USD,
591,KAIYI,X7,ESS,1600,14500,14500,13000,11700,USD,
592,KAIYI,X3 PRO,ESS,1600,9900,9900,8900,8000,USD,
593,KAIYI,STATION,ESS,1600,9900,9900,8900,8000,USD,
